,Capital_Importation_MUSD
2013-01-01,50182.130000000005
2014-01-01,248999.52000000002
2015-01-01,115716.12
2016-01-01,61483.56
2017-01-01,146726.77061981
2018-01-01,201649.59239113
2019-01-01,431643.64074662
2020-01-01,173790.32317505998
2021-01-01,120609.18936282242
2022-01-01,95896.85976343
2023-01-01,68542.54328583
2024-01-01,230729.09223576
2025-01-01,55308.70711787
