Model,MAE,RMSE,MAPE,AIC,BIC
"ARIMA(1, 1, 1)",33606.96873059959,46472.551984181315,185.78118814377754,889.2217611239123,893.9723179392806
"ARIMA(0, 1, 1)",34783.60204033846,46923.04659155469,197.44510817365241,887.8535019954727,891.0205398723849
"ARIMA(1, 1, 0)",27386.737369404884,47857.86287738047,100.38151699850356,899.9050613263939,903.0720992033062
"ARIMA(2, 1, 2)",26157.304372027043,48309.29296737571,81.44397297971702,892.491085708468,900.4086804007485
"ARIMA(0, 1, 0)",26609.300522659003,53058.72412717074,40.92140314199034,903.9396435207132,905.5231624591693
