Quarter,Forecast,Lower_CI,Upper_CI,Year
2025-06-30,43026.59043403175,-55379.35790484093,141432.53877290443,2025
2025-09-30,41783.01682060068,-57332.21737484491,140898.25101604627,2025
2025-12-31,41657.104050690505,-57487.50528280573,140801.71338418673,2025
2026-03-31,41644.35528740442,-57504.07737811324,140792.78795292208,2026
2026-06-30,41643.06446546919,-57507.04582687775,140793.17475781613,2026
2026-09-30,41642.93376877093,-57508.64140436239,140794.50894190423,2026
2026-12-31,41642.920535631274,-57510.09800545848,140795.93907672103,2026
2027-03-31,41642.91919576586,-57511.54051677705,140797.37890830878,2027
